Year,Province_x,City,GDP_captia,population,PBC,Before,PCPC,Post,Post_1,mayor,mayor_tenure,mayor_turnover,mayor_age,mayor_education,mayor_corruption,secret,secret_tenure,secret_turnover,secret_age,secret_education,secret_corruption,t,GDP,GDP_growth,First,Second,Third,Prov_code_x,Province_y,City_code_x,light_mean,light_sum,light_min,light_max,light_std,Province,Prov_code_y,City_code_y,PM_mean,PM_sum,PM_min,PM_max,PM_std,Unnamed: 10
2006,安徽省,安庆市,8709.0,607.89,5,0,1,0,0,朱读稳,3,0,49.0,研究生,0.0,韩先聪,4,0,51.0,研究生,1.0,1,4942100,12.6,19.1,42.27,38.63,340000.0,安徽省,340800.0,291.5596896,4396137.0,0.0,6030.0,603.2455828,安徽省,340000.0,340800.0,46.90659894,586426.3,28.29999924,61.70000076,7.822310956,
2007,安徽省,安庆市,10485.0,610.99,1,0,0,1,0,朱读稳,4,0,50.0,研究生,0.0,韩先聪,5,0,52.0,研究生,1.0,2,5876612,13.4,19.12,41.37,39.51,340000.0,安徽省,340800.0,338.1693346,4858817.0,0.0,6117.0,622.2701812,安徽省,340000.0,340800.0,53.0542233,663283.8997,35.0,67.5,7.870043006,
2008,安徽省,安庆市,12595.0,613.89,2,0,0,0,1,肖超英,1,1,50.0,研究生,0.0,朱读稳,1,1,51.0,研究生,0.0,3,7047175,12.2,19.05,42.44,38.52,340000.0,安徽省,340800.0,347.2358091,4997765.0,0.0,5834.0,599.2476379,安徽省,340000.0,340800.0,51.63959366,645598.2,33.29999924,64.09999847,7.638952733,
2009,安徽省,安庆市,13811.0,614.89,3,0,0,0,0,肖超英,2,0,51.0,研究生,0.0,朱读稳,2,0,52.0,研究生,0.0,4,7706600,12.3,18.52,46.89,34.59,340000.0,安徽省,340800.0,292.5310812,4277682.0,0.0,5450.0,560.3277604,安徽省,340000.0,340800.0,49.85404735,623275.2999,32.29999924,63.70000076,7.234225433,
2010,安徽省,安庆市,18604.0,615.75,4,1,0,0,0,肖超英,3,0,52.0,研究生,0.0,朱读稳,3,0,53.0,研究生,0.0,5,9881100,13.6,15.74,53.03,31.23,340000.0,安徽省,340800.0,342.1965461,4834895.0,0.0,5359.0,514.5171064,安徽省,340000.0,340800.0,50.52013278,631602.7,31.89999962,64.19999695,7.854229912,
2011,安徽省,安庆市,22893.0,617.1,5,0,1,0,0,肖超英,4,0,53.0,研究生,0.0,朱读稳,4,0,54.0,研究生,0.0,6,12157400,13.2,14.86,55.33,29.8,340000.0,安徽省,340800.0,410.5686103,5161258.0,0.0,6028.0,676.0121183,安徽省,340000.0,340800.0,51.80347142,647646.9997,33.90000153,66.09999847,7.385664281,
2012,安徽省,安庆市,25592.0,619.5,1,0,0,1,0,肖超英,5,1,54.0,研究生,0.0,朱读稳,5,0,55.0,研究生,0.0,7,13597027,11.5,14.43,55.85,29.72,340000.0,安徽省,340800.0,358.2272037,4953924.0,0.0,5461.0,602.8269519,安徽省,340000.0,340800.0,46.5580467,582068.6998,29.79999924,59.20000076,7.591478557,
2013,安徽省,安庆市,22801.0,621.1,2,0,0,0,1,魏晓明,1,0,49.0,硕士,0.0,虞爱华,1,1,48.0,研究生,0.0,8,14182282,4.3,14.25,53.14,32.61,340000.0,安徽省,340800.0,350.0316384,5576004.0,0.0,5475.0,677.7940677,安徽省,340000.0,340800.0,50.89544072,636294.7999,30.60000038,67.09999847,8.564471304,
2014,安徽省,安庆市,28808.0,621.1,3,0,0,0,0,魏晓明,2,0,50.0,硕士,0.0,虞爱华,2,0,49.0,研究生,0.0,9,15443170,9.27,13.75,52.76,33.49,340000.0,安徽省,340800.0,381.656785,6063763.0,0.0,5731.0,734.0629435,安徽省,340000.0,340800.0,50.04855221,625706.9997,32.29999924,66.80000305,7.993823134,
2015,安徽省,安庆市,31101.0,621.88,4,1,0,0,0,魏晓明,3,0,51.0,硕士,0.0,虞爱华,3,0,50.0,研究生,0.0,10,14174300,7.4,13.12,50.36,36.53,340000.0,安徽省,340800.0,425.3574678,6544550.0,0.0,5949.0,759.098481,安徽省,340000.0,340800.0,43.50466325,543895.2999,27.29999924,55.29999924,6.572718376,
2016,安徽省,安庆市,33294.0,527.0,5,0,1,0,0,陈冰冰,1,1,54.0,研究生,0.0,魏晓明,1,1,52.0,硕士,0.0,11,15311776,8.0,12.54,47.49,39.97,340000.0,安徽省,340800.0,449.286457,6827357.0,0.0,6022.0,759.8088556,安徽省,340000.0,340800.0,41.62030074,520336.9999,25.5,53.59999847,7.094217246,
2017,安徽省,安庆市,36928.0,530.0,1,0,0,1,0,陈冰冰,2,0,55.0,研究生,0.0,魏晓明,2,0,53.0,硕士,0.0,12,17088300,8.6,0.0,0.0,0.0,340000.0,安徽省,340800.0,408.3763896,6171384.0,0.0,5617.0,718.4295201,安徽省,340000.0,340800.0,41.66102224,520846.1,24.5,55.29999924,7.861773993,
2018,安徽省,安庆市,41088.0,530.0,2,0,0,0,1,陈冰冰,3,0,56.0,研究生,0.0,魏晓明,3,0,54.0,硕士,0.0,13,19175850,7.8,10.43,49.87,39.7,340000.0,安徽省,340800.0,443.0259349,6610833.0,0.0,5343.0,623.7486797,安徽省,340000.0,340800.0,33.76660534,422150.1,19.20000076,46.29999924,6.899418105,
2019,安徽省,安庆市,50574.0,529.0,3,0,0,0,0,陈冰冰,4,0,57.0,研究生,0.0,魏晓明,4,0,55.0,硕士,0.0,14,23810000,7.0,9.08,44.92,45.98,340000.0,安徽省,340800.0,529.1235891,7406672.0,0.0,6169.0,823.781655,安徽省,340000.0,340800.0,36.86605342,460899.3998,20.79999924,48.90000153,7.239705756,
2006,内蒙古,巴彦淖尔市,16045.0,179.41,5,0,1,0,0,王素毅,2,0,45.0,研究生,1.0,郭启俊,2,0,54.0,大学,0.0,1,2782323,18.0,25.99,44.93,29.07,150000.0,内蒙古自治区,150800.0,98.79013232,6331262.0,0.0,6034.0,337.4628478,内蒙古自治区,150000.0,150800.0,40.99614874,2876248.799,27.0,58.0,5.608489036,
2007,内蒙古,巴彦淖尔市,20423.0,182.3,1,0,0,1,0,王素毅,3,0,46.0,研究生,1.0,郭启俊,3,0,55.0,大学,0.0,2,3551474,17.3,25.06,47.45,27.49,150000.0,内蒙古自治区,150800.0,137.5657834,6593528.0,0.0,6300.0,397.2675324,内蒙古自治区,150000.0,150800.0,34.6302584,2429624.299,22.5,51.09999847,5.216635232,
2008,内蒙古,巴彦淖尔市,25237.0,185.0,2,0,0,0,1,王波,1,1,50.0,研究生,0.0,王素毅,1,1,47.0,研究生,1.0,3,4390600,17.8,21.1,52.3,26.6,150000.0,内蒙古自治区,150800.0,115.57624,6664126.0,0.0,6300.0,374.2632599,内蒙古自治区,150000.0,150800.0,34.19849911,2399332.499,22.20000076,50.09999847,5.836515395,
2009,内蒙古,巴彦淖尔市,29384.0,173.52,3,0,0,0,0,王波,2,0,51.0,研究生,0.0,王素毅,2,0,48.0,研究生,1.0,4,5098658,19.3,19.49,54.9,25.62,150000.0,内蒙古自治区,150800.0,100.3318626,6185359.0,0.0,6040.0,390.2200197,内蒙古自治区,150000.0,150800.0,36.60244016,2567990.599,23.70000076,55.5,6.282099142,
2010,内蒙古,巴彦淖尔市,35463.0,174.67,4,1,0,0,0,何永林,1,1,48.0,研究生,1.0,王素毅,3,1,49.0,研究生,1.0,5,6033292,13.5,19.73,56.3,23.97,150000.0,内蒙古自治区,150800.0,126.9103812,7368036.0,0.0,5876.0,356.9334796,内蒙古自治区,150000.0,150800.0,43.33616784,3040422.199,29.70000076,62.5,6.884945927,
2011,内蒙古,巴彦淖尔市,43118.0,176.6,5,0,1,0,0,何永林,2,1,49.0,研究生,1.0,那顺孟和,1,1,54.0,高中,0.0,6,7184502,10.5,19.26,57.63,23.11,150000.0,内蒙古自治区,150800.0,141.1956343,7723260.0,0.0,6040.0,424.541864,内蒙古自治区,150000.0,150800.0,33.65440355,2361159.299,22.5,57.29999924,6.088471496,
2012,内蒙古,巴彦淖尔市,48812.0,176.8,1,0,0,1,0,段志强,1,0,50.0,研究生,0.0,何永林,1,0,50.0,研究生,1.0,7,8133300,10.3,18.59,58.87,22.54,150000.0,内蒙古自治区,150800.0,117.3621486,7544391.0,0.0,5795.0,374.6886987,内蒙古自治区,150000.0,150800.0,30.80415341,2161188.599,17.29999924,50.79999924,6.681425256,
2013,内蒙古,巴彦淖尔市,45622.0,185.0,2,0,0,0,1,段志强,2,0,51.0,研究生,0.0,何永林,2,0,51.0,研究生,1.0,8,8348900,2.65,19.43,56.23,24.33,150000.0,内蒙古自治区,150800.0,145.2246067,8262554.0,0.0,6166.0,445.4535868,内蒙古自治区,150000.0,150800.0,32.44054931,2275996.499,20.5,49.40000153,6.086614174,
2014,内蒙古,巴彦淖尔市,51872.0,180.9,3,0,0,0,0,段志强,3,0,52.0,研究生,0.0,何永林,3,0,52.0,研究生,1.0,9,8674600,7.8,19.42,55.13,25.45,150000.0,内蒙古自治区,150800.0,139.578834,8874841.0,0.0,6300.0,453.466128,内蒙古自治区,150000.0,150800.0,32.95029004,2311759.399,23.20000076,48.70000076,5.237495206,
2015,内蒙古,巴彦淖尔市,53000.0,176.65,4,1,0,0,0,段志强,4,0,53.0,研究生,0.0,何永林,4,0,53.0,研究生,1.0,10,8874300,7.5,18.67,50.77,30.56,150000.0,内蒙古自治区,150800.0,172.6297287,9231720.0,0.0,6233.0,488.2930144,内蒙古自治区,150000.0,150800.0,34.60343789,2427742.599,23.29999924,51.5,5.539120457,
2016,内蒙古,巴彦淖尔市,54480.0,175.0,5,0,1,0,0,段志强,5,1,54.0,研究生,0.0,何永林,5,1,54.0,研究生,1.0,11,9153800,7.0,17.28,50.62,32.1,150000.0,内蒙古自治区,150800.0,152.2094067,9223129.0,0.0,6295.0,460.1160042,内蒙古自治区,150000.0,150800.0,32.79756693,2301044.499,22.5,48.20000076,4.872045005,
2017,内蒙古,巴彦淖尔市,0.0,175.0,1,0,0,1,0,张晓兵,1,0,46.0,博士,0.0,常志刚,1,0,49.0,研究生,0.0,12,0,3.6,0.0,0.0,0.0,150000.0,内蒙古自治区,150800.0,132.5722614,8164065.0,0.0,6202.0,457.3917131,内蒙古自治区,150000.0,150800.0,28.86466596,2025116.099,18.39999962,44.20000076,5.279259056,
2018,内蒙古,巴彦淖尔市,48193.0,174.0,2,0,0,0,1,张晓兵,2,0,47.0,博士,0.0,常志刚,2,0,50.0,研究生,0.0,13,8131300,5.3,22.67,38.07,39.27,150000.0,内蒙古自治区,150800.0,166.7270261,9955104.0,0.0,5607.0,417.7635581,内蒙古自治区,150000.0,150800.0,30.63864363,2149576.599,20.20000076,47.59999847,5.319841376,
2019,内蒙古,巴彦淖尔市,51722.0,179.0,3,0,0,0,0,张晓兵,3,0,48.0,博士,0.0,常志刚,3,0,51.0,研究生,0.0,14,8750000,5.2,22.97,32.51,44.52,150000.0,内蒙古自治区,150800.0,176.9191141,10240786.0,0.0,5887.0,490.3341279,内蒙古自治区,150000.0,150800.0,28.15487677,1975317.999,18.60000038,42.20000076,4.831466453,
2006,广西省,崇左市,8366.0,233.2,5,0,1,0,0,肖化,1,1,51.0,研究生,0.0,罗殿龙,6,0,54.0,硕士,0.0,1,1940282,17.1,34.25,34.32,31.44,450000.0,广西壮族自治区,451400.0,152.1178146,2564250.0,0.0,3914.0,344.3317295,广西壮族自治区,450000.0,451400.0,41.98838341,638685.3,33.90000153,50.5,2.369784017,
2007,广西省,崇左市,10826.0,236.89,1,0,0,1,0,肖化,2,0,52.0,研究生,0.0,罗殿龙,7,0,55.0,硕士,0.0,2,2318725,16.6,32.88,33.69,33.43,450000.0,广西壮族自治区,451400.0,195.0409103,2965402.0,0.0,4243.0,362.7354104,广西壮族自治区,450000.0,451400.0,42.72306882,649860.5999,36.29999924,50.59999847,2.417046015,
2008,广西省,崇左市,12226.0,240.0,2,0,0,0,1,黄克,1,1,52.0,研究生,0.0,崔智友,1,1,51.0,博士,0.0,3,2648005,11.8,30.51,35.62,33.88,450000.0,广西壮族自治区,451400.0,179.2081571,2838478.0,0.0,4254.0,362.7562296,广西壮族自治区,450000.0,451400.0,43.02640851,654474.6998,36.20000076,51.20000076,2.43912096,
2009,广西省,崇左市,13921.0,240.98,3,0,0,0,0,黄克,2,0,53.0,研究生,0.0,崔智友,2,0,52.0,博士,0.0,4,3043555,12.6,28.56,35.29,36.15,450000.0,广西壮族自治区,451400.0,181.5141222,2885530.0,0.0,4582.0,417.4076131,广西壮族自治区,450000.0,451400.0,37.77675365,574622.1998,30.0,43.29999924,2.031359685,
2010,广西省,崇左市,18583.0,242.74,4,1,0,0,0,黄克,3,0,54.0,研究生,0.0,赵乐秦,1,1,50.0,研究生,0.0,5,3923691,13.1,29.27,38.0,32.73,450000.0,广西壮族自治区,451400.0,205.0275747,3197200.0,0.0,3654.0,341.3763497,广西壮族自治区,450000.0,451400.0,37.61097887,572100.5996,31.70000076,43.40000153,1.943093209,
2011,广西省,崇左市,24557.0,245.1,5,0,1,0,0,黄克,4,0,55.0,研究生,0.0,赵乐秦,2,0,51.0,研究生,0.0,6,4918478,10.52,29.48,40.14,30.39,450000.0,广西壮族自治区,451400.0,234.200264,3725892.0,0.0,4500.0,426.4194722,广西壮族自治区,450000.0,451400.0,42.39399119,644855.0,36.79999924,49.59999847,2.658564,
2012,广西省,崇左市,26288.0,246.0,1,0,0,1,0,黄克,5,0,56.0,研究生,0.0,赵乐秦,3,0,52.0,研究生,0.0,7,5305064,11.75,26.95,40.9,32.16,450000.0,广西壮族自治区,451400.0,202.5521495,3350010.0,0.0,4088.0,380.8932465,广西壮族自治区,450000.0,451400.0,40.8686411,621652.8998,33.20000076,46.40000153,2.138438204,
2013,广西省,崇左市,23669.0,245.9,2,0,0,0,1,孙大光,1,1,42.0,博士,0.0,黄克,1,1,57.0,研究生,0.0,8,5846288,10.2,25.56,42.46,31.98,450000.0,广西壮族自治区,451400.0,306.4120927,5275497.0,0.0,4728.0,454.7652049,广西壮族自治区,450000.0,451400.0,40.19931628,611471.8,32.59999847,45.59999847,2.071198085,
2014,广西省,崇左市,31944.0,247.4,3,0,0,0,0,孙大光,2,0,43.0,博士,0.0,黄克,2,0,58.0,研究生,0.0,9,6497236,8.34,22.68,42.7,34.61,450000.0,广西壮族自治区,451400.0,313.5185292,5431395.0,0.0,4856.0,490.7689123,广西壮族自治区,450000.0,451400.0,40.34379725,613669.4999,34.40000153,45.5,2.023350901,
2015,广西省,崇左市,33355.0,248.49,4,1,0,0,0,孙大光,3,0,44.0,博士,0.0,黄克,3,0,59.0,研究生,0.0,10,6828231,8.02,22.74,40.22,37.05,450000.0,广西壮族自治区,451400.0,326.4910862,5329314.0,0.0,4641.0,479.8272163,广西壮族自治区,450000.0,451400.0,35.93461967,546601.4998,29.20000076,40.09999847,1.542180765,
2016,广西省,崇左市,37161.0,250.0,5,0,1,0,0,孙大光,4,0,45.0,博士,0.0,刘有明,1,1,53.0,博士,0.0,11,7662005,8.2,21.89,40.55,37.56,450000.0,广西壮族自治区,451400.0,337.3987257,5825189.0,0.0,4823.0,503.5472058,广西壮族自治区,450000.0,451400.0,32.09013868,488123.0994,27.20000076,35.70000076,1.449248847,
2017,广西省,崇左市,43678.0,250.0,1,0,0,1,0,孙大光,5,0,46.0,博士,0.0,刘有明,2,0,54.0,博士,0.0,12,9076193,10.4,0.0,0.0,0.0,450000.0,广西壮族自治区,451400.0,324.7925609,5387659.0,0.0,4794.0,528.6001923,广西壮族自治区,450000.0,451400.0,32.06607057,487756.9995,28.29999924,36.59999847,1.528279108,
2018,广西省,崇左市,48564.0,251.0,2,0,0,0,1,何良军,1,1,47.0,博士,0.0,刘有明,3,0,55.0,博士,0.0,13,10164916,11.34,18.62,44.24,37.13,450000.0,广西壮族自治区,451400.0,347.4946183,5617598.0,0.0,4060.0,434.590862,广西壮族自治区,450000.0,451400.0,29.12298994,442989.7999,26.20000076,33.70000076,1.151841849,
2019,广西省,崇左市,36129.0,252.0,3,0,0,0,0,何良军,2,0,48.0,博士,0.0,刘有明,4,0,56.0,博士,0.0,14,7600000,8.5,22.39,28.12,49.55,450000.0,广西壮族自治区,451400.0,383.8746233,6497078.0,0.0,4941.0,537.1753648,广西壮族自治区,450000.0,451400.0,27.65451975,420652.8999,24.70000076,32.0,1.202383573,
2006,黑龙江省,大庆市,60493.0,269.3,4,1,0,0,0,韩学键,2,0,45.0,硕士,1.0,盖如垠,2,0,53.0,硕士,0.0,1,16203336,10.5,3.13,85.64,11.22,230000.0,黑龙江省,230600.0,634.5847021,21056155.0,0.0,6300.0,1198.690341,黑龙江省,230000.0,230600.0,32.85442478,811931.3995,25.70000076,46.09999847,4.703762959,
2007,黑龙江省,大庆市,67161.0,273.36,5,0,1,0,0,韩学键,3,0,46.0,硕士,1.0,盖如垠,3,0,54.0,硕士,0.0,2,18222781,10.5,3.03,84.97,12.01,230000.0,黑龙江省,230600.0,665.1757745,21642159.0,0.0,6296.0,1212.311073,黑龙江省,230000.0,230600.0,32.18307366,795340.2994,25.10000038,44.59999847,4.35048086,
2008,黑龙江省,大庆市,80655.0,277.23,1,0,0,1,0,夏立华,1,1,48.0,硕士,0.0,韩学键,1,1,47.0,硕士,1.0,3,22203734,12.3,3.12,85.08,11.8,230000.0,黑龙江省,230600.0,679.7972276,22411555.0,0.0,6262.0,1201.66945,黑龙江省,230000.0,230600.0,35.22256705,870455.2995,28.79999924,50.90000153,5.123615908,
2009,黑龙江省,大庆市,76068.0,276.72,2,0,0,0,1,夏立华,2,0,49.0,硕士,0.0,韩学键,2,0,48.0,硕士,1.0,4,21200036,12.11,3.79,78.68,17.53,230000.0,黑龙江省,230600.0,682.743348,21579469.0,0.0,6288.0,1267.181214,黑龙江省,230000.0,230600.0,26.30102374,649977.1997,20.89999962,37.20000076,3.109072185,
2010,黑龙江省,大庆市,103576.0,278.0,3,0,0,0,0,夏立华,3,0,50.0,硕士,0.0,韩学键,3,0,49.0,硕士,1.0,5,29000642,12.0,3.28,82.24,14.48,230000.0,黑龙江省,230600.0,655.8612156,21095776.0,0.0,5899.0,1144.431341,黑龙江省,230000.0,230600.0,32.10094685,793310.6994,26.39999962,43.5,3.997596905,
2011,黑龙江省,大庆市,133301.0,273.0,4,1,0,0,0,夏立华,4,0,51.0,硕士,0.0,韩学键,4,0,50.0,硕士,1.0,6,37415389,12.06,3.59,82.05,14.36,230000.0,黑龙江省,230600.0,739.9460949,23761149.0,0.0,6243.0,1298.653242,黑龙江省,230000.0,230600.0,37.63799618,930147.7996,28.79999924,59.79999924,6.577829005,
2012,黑龙江省,大庆市,142067.0,279.7,5,0,1,0,0,夏立华,5,0,52.0,硕士,0.0,韩学键,5,0,51.0,硕士,1.0,7,40010695,10.0,3.85,80.88,15.27,230000.0,黑龙江省,230600.0,677.5013445,21919201.0,0.0,5838.0,1179.418045,黑龙江省,230000.0,230600.0,37.33143688,922571.7996,31.20000076,55.09999847,4.990422647,
2013,黑龙江省,大庆市,147756.0,273.5,1,0,0,1,0,夏立华,6,0,53.0,硕士,0.0,韩学键,6,0,52.0,硕士,1.0,8,41814993,4.51,4.2,79.36,16.44,230000.0,黑龙江省,230600.0,666.7336639,21916869.0,0.0,6300.0,1214.782782,黑龙江省,230000.0,230600.0,37.56985391,928463.7998,29.5,59.79999924,6.270195797,
2014,黑龙江省,大庆市,146518.0,271.2,2,0,0,0,1,夏立华,7,0,54.0,硕士,0.0,韩学键,7,1,53.0,硕士,1.0,9,40775057,4.5,4.7,75.53,19.76,230000.0,黑龙江省,230600.0,689.2461274,23271017.0,0.0,6300.0,1224.957436,黑龙江省,230000.0,230600.0,39.00890219,964026.9998,30.29999924,60.70000076,5.706308256,
2015,黑龙江省,大庆市,110113.0,270.94,3,0,0,0,0,韩立华,1,1,52.0,博士,0.0,赵铭,1,0,55.0,大学,0.0,10,29834587,-2.3,6.53,64.88,28.59,230000.0,黑龙江省,230600.0,719.6623866,24044640.0,0.0,6300.0,1223.871036,黑龙江省,230000.0,230600.0,42.14440981,1041514.8,32.70000076,59.5,5.812490141,
2016,黑龙江省,大庆市,94690.0,271.0,4,1,0,0,0,韩立华,2,0,53.0,博士,0.0,赵铭,2,0,56.0,大学,0.0,11,26100031,1.9,7.17,56.07,36.76,230000.0,黑龙江省,230600.0,715.0480442,23946959.0,0.0,6300.0,1226.205962,黑龙江省,230000.0,230600.0,34.37711727,849561.6991,29.70000076,45.0,2.919593057,
2017,黑龙江省,大庆市,97677.0,274.0,5,0,1,0,0,韩立华,3,1,54.0,博士,0.0,赵铭,3,1,57.0,大学,0.0,12,26805200,2.4,0.0,0.0,0.0,230000.0,黑龙江省,230600.0,720.5304022,23107410.0,0.0,6300.0,1273.876943,黑龙江省,230000.0,230600.0,34.46601382,851758.5996,27.20000076,51.29999924,4.495525294,
2018,黑龙江省,大庆市,102639.0,273.0,1,0,0,1,0,石嘉兴,1,1,57.0,硕士,0.0,韩立华,1,0,55.0,博士,0.0,13,28011583,3.54,7.13,53.95,38.92,230000.0,黑龙江省,230600.0,694.6558896,23011171.0,0.0,5906.0,1123.717211,黑龙江省,230000.0,230600.0,27.62086755,682594.4998,22.89999962,39.40000153,2.999229485,
2019,黑龙江省,大庆市,94289.0,272.0,2,0,0,0,1,何忠华,1,0,56.0,研究生,0.0,韩立华,2,0,56.0,博士,0.0,14,25680000,4.0,8.56,52.62,38.82,230000.0,黑龙江省,230600.0,787.0259122,25968707.0,0.0,6286.0,1268.866602,黑龙江省,230000.0,230600.0,28.92056406,714713.8997,23.20000076,40.79999924,3.723628598,
2006,内蒙古,鄂尔多斯市,53163.0,141.0,5,0,1,0,0,刘锦,3,1,41.0,博士,0.0,云峰,4,0,54.0,硕士,0.0,1,8000046,24.0,5.38,54.96,39.66,150000.0,内蒙古自治区,150600.0,93.02930316,9774961.0,0.0,6063.0,375.7704188,内蒙古自治区,150000.0,150600.0,42.1574957,3828406.499,28.70000076,63.5,5.266507607,
2007,内蒙古,鄂尔多斯市,75164.0,143.99,1,0,0,1,0,杜梓,1,0,52.0,大学,0.0,云峰,5,0,55.0,硕士,0.0,2,11509051,25.8,4.34,55.01,40.65,150000.0,内蒙古自治区,150600.0,109.2889749,9653058.0,0.0,6118.0,405.6195012,内蒙古自治区,150000.0,150600.0,36.3428963,3300371.099,25.39999962,53.0,4.401871182,
2008,内蒙古,鄂尔多斯市,102128.0,149.69,2,0,0,0,1,杜梓,2,1,53.0,大学,0.0,云峰,6,1,56.0,硕士,0.0,3,16030184,22.9,3.6,58.11,38.3,150000.0,内蒙古自治区,150600.0,102.0801191,9945666.0,0.0,6173.0,396.3693742,内蒙古自治区,150000.0,150600.0,33.50021912,3042221.898,23.5,50.40000153,3.982706154,
2009,内蒙古,鄂尔多斯市,134400.0,148.09,3,0,0,0,0,云中光,1,0,49.0,研究生,1.0,杜梓,1,0,54.0,大学,0.0,4,21610000,23.0,2.8,58.33,38.87,150000.0,内蒙古自治区,150600.0,91.33987841,9285064.0,0.0,6129.0,408.2473859,内蒙古自治区,150000.0,150600.0,33.9890653,3086614.998,23.39999962,55.0,4.660690477,
2010,内蒙古,鄂尔多斯市,175125.0,150.93,4,1,0,0,0,云中光,2,0,50.0,研究生,1.0,杜梓,2,0,55.0,大学,0.0,5,26432300,19.0,2.68,58.69,38.63,150000.0,内蒙古自治区,150600.0,100.7324948,10274513.0,0.0,6192.0,359.10291,内蒙古自治区,150000.0,150600.0,40.84937012,3709612.999,24.10000038,65.90000153,5.362154176,
2011,内蒙古,鄂尔多斯市,163014.0,153.3,5,0,1,0,0,廉素,1,1,53.0,大学,0.0,云光中,1,1,51.0,研究生,1.0,6,32185400,15.1,2.58,60.08,37.34,150000.0,内蒙古自治区,150600.0,121.7992581,11852773.0,0.0,6267.0,447.3635236,内蒙古自治区,150000.0,150600.0,39.27857331,3566965.799,30.20000076,64.19999695,5.00490742,
2012,内蒙古,鄂尔多斯市,182680.0,155.1,1,0,0,1,0,廉素,2,0,54.0,大学,0.0,云光中,2,0,52.0,研究生,1.0,7,36568000,13.0,2.46,60.52,37.01,150000.0,内蒙古自治区,150600.0,106.3835787,11208893.0,0.0,5932.0,401.0112939,内蒙古自治区,150000.0,150600.0,35.0822259,3185887.098,25.39999962,55.0,4.288372505,
2013,内蒙古,鄂尔多斯市,256877.0,153.2,2,0,0,0,1,廉素,3,0,55.0,大学,0.0,云光中,3,0,53.0,研究生,1.0,8,39558982,8.18,2.46,59.89,37.64,150000.0,内蒙古自治区,150600.0,229.4410788,24033953.0,0.0,6297.0,642.0312615,内蒙古自治区,150000.0,150600.0,33.32666826,3026461.398,21.20000076,53.90000153,4.346685692,
2014,内蒙古,鄂尔多斯市,200152.0,155.1,3,0,0,0,0,廉素,4,0,56.0,大学,0.0,白玉刚,1,1,49.0,大学,0.0,9,40554873,8.0,2.46,58.1,39.44,150000.0,内蒙古自治区,150600.0,216.8355322,23486107.0,0.0,6177.0,631.7686135,内蒙古自治区,150000.0,150600.0,31.82688079,2890262.698,22.10000038,50.90000153,4.118403063,
2015,内蒙古,鄂尔多斯市,207163.0,156.64,4,1,0,0,0,廉素,5,1,57.0,大学,0.0,白玉刚,2,0,50.0,大学,0.0,10,42261300,7.7,2.34,56.79,40.87,150000.0,内蒙古自治区,150600.0,238.5143061,23741237.0,0.0,6179.0,635.6457263,内蒙古自治区,150000.0,150600.0,32.4227701,2944376.598,22.10000038,54.70000076,4.724236645,
2016,内蒙古,鄂尔多斯市,215488.0,158.0,5,0,1,0,0,牛俊雁,1,1,54.0,硕士,0.0,白玉刚,3,1,51.0,大学,0.0,11,44179341,7.3,2.44,55.71,41.85,150000.0,内蒙古自治区,150600.0,219.4745785,23094432.0,0.0,6300.0,609.8303899,内蒙古自治区,150000.0,150600.0,29.24401509,2655707.498,16.89999962,47.90000153,4.715060697,
2017,内蒙古,鄂尔多斯市,0.0,160.0,1,0,0,1,0,龚明珠,1,0,51.0,硕士,0.0,牛俊雁,1,0,55.0,硕士,0.0,12,0,0.0,0.0,0.0,0.0,150000.0,内蒙古自治区,150600.0,201.0467853,21460337.0,0.0,6300.0,631.6916218,内蒙古自治区,150000.0,150600.0,27.70563801,2516004.399,16.29999924,46.70000076,4.266326911,
2018,内蒙古,鄂尔多斯市,181486.0,162.0,2,0,0,0,1,斯琴毕力格,1,1,55.0,硕士,0.0,牛俊雁,2,0,56.0,硕士,0.0,13,37632100,5.0,3.13,52.33,44.55,150000.0,内蒙古自治区,150600.0,211.0179913,22812733.0,0.0,6086.0,556.2383396,内蒙古自治区,150000.0,150600.0,27.60667532,2507017.399,16.79999924,45.0,3.556874231,
2019,内蒙古,鄂尔多斯市,173069.0,163.0,3,0,0,0,0,斯琴毕力格,2,0,56.0,硕士,0.0,牛俊雁,3,0,57.0,硕士,0.0,14,36050000,4.0,3.43,58.04,38.53,150000.0,内蒙古自治区,150600.0,257.2356749,26746851.0,0.0,6294.0,678.7745096,内蒙古自治区,150000.0,150600.0,26.72247389,2426721.299,17.29999924,43.59999847,3.373667928,
2006,辽宁省,抚顺市,20426.0,223.9,5,0,1,0,0,刘强,3,0,42.0,博士,1.0,周忠轩,3,0,51.0,博士,0.0,1,4578224,15.1,6.87,55.58,37.55,210000.0,辽宁省,210400.0,437.5373177,6090957.0,0.0,6300.0,999.1383979,辽宁省,210000.0,210400.0,42.42305236,518409.6998,36.59999847,60.40000153,4.051075207,
2007,辽宁省,抚顺市,24451.0,223.72,1,0,0,1,0,刘强,4,0,43.0,博士,1.0,周忠轩,4,0,52.0,博士,0.0,2,5472419,16.1,6.68,55.95,37.37,210000.0,辽宁省,210400.0,457.8765848,6392415.0,0.0,6300.0,973.4857576,辽宁省,210000.0,210400.0,42.71568739,521985.6999,35.59999847,58.40000153,3.809109514,
